# Intermittent technologies from L113.globaltech_capital_ATB and values interpolated from assumptions
# Values determined by an exponential function with terms for minimum achievable cost and pace of reduction
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,interest.rate,payback.years
electricity,solar,CSP,1975,capital,1807,0.127,30
electricity,solar,CSP,1990,capital,1807,0.127,30
electricity,solar,CSP,2005,capital,1807,0.127,30
electricity,solar,CSP,2010,capital,1807,0.127,30
electricity,solar,CSP,2015,capital,1807,0.127,30
electricity,solar,CSP,2021,capital,1476,0.127,30
electricity,solar,CSP,2025,capital,1278,0.127,30
electricity,solar,CSP,2030,capital,957,0.127,30
electricity,solar,CSP,2035,capital,922,0.127,30
electricity,solar,CSP,2040,capital,888,0.127,30
electricity,solar,CSP,2045,capital,854,0.127,30
electricity,solar,CSP,2050,capital,820,0.127,30
electricity,solar,CSP,2055,capital,816,0.127,30
electricity,solar,CSP,2060,capital,812,0.127,30
electricity,solar,CSP,2065,capital,808,0.127,30
electricity,solar,CSP,2070,capital,804,0.127,30
electricity,solar,CSP,2075,capital,800,0.127,30
electricity,solar,CSP,2080,capital,796,0.127,30
electricity,solar,CSP,2085,capital,792,0.127,30
electricity,solar,CSP,2090,capital,788,0.127,30
electricity,solar,CSP,2095,capital,784,0.127,30
electricity,solar,CSP,2100,capital,780,0.127,30
electricity,solar,PV,1975,capital,1681,0.127,30
electricity,solar,PV,1990,capital,1681,0.127,30
electricity,solar,PV,2005,capital,1681,0.127,30
electricity,solar,PV,2010,capital,1681,0.127,30
electricity,solar,PV,2015,capital,752,0.127,30
electricity,solar,PV,2021,capital,317,0.127,30
electricity,solar,PV,2025,capital,312,0.127,30
electricity,solar,PV,2030,capital,246,0.127,30
electricity,solar,PV,2035,capital,180,0.127,30
electricity,solar,PV,2040,capital,164,0.127,30
electricity,solar,PV,2045,capital,148,0.127,30
electricity,solar,PV,2050,capital,132,0.127,30
electricity,solar,PV,2055,capital,131,0.127,30
electricity,solar,PV,2060,capital,130,0.127,30
electricity,solar,PV,2065,capital,130,0.127,30
electricity,solar,PV,2070,capital,129,0.127,30
electricity,solar,PV,2075,capital,129,0.127,30
electricity,solar,PV,2080,capital,128,0.127,30
electricity,solar,PV,2085,capital,127,0.127,30
electricity,solar,PV,2090,capital,127,0.127,30
electricity,solar,PV,2095,capital,126,0.127,30
electricity,solar,PV,2100,capital,125,0.127,30
elect_td_bld,rooftop_pv,rooftop_pv,1975,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,1990,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2005,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2010,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2015,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2021,capital,609,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,495,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,418,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,341,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,310,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,279,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,248,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,247,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,245,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,244,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,243,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,242,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,241,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,239,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,238,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,237,0.1,30
elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,236,0.1,30
electricity,wind,wind,1975,capital,622,0.127,30
electricity,wind,wind,1990,capital,622,0.127,30
electricity,wind,wind,2005,capital,622,0.127,30
electricity,wind,wind,2010,capital,622,0.127,30
electricity,wind,wind,2015,capital,450,0.127,30
electricity,wind,wind,2021,capital,327,0.127,30
electricity,wind,wind,2025,capital,325,0.127,30
electricity,wind,wind,2030,capital,289,0.127,30
electricity,wind,wind,2035,capital,273,0.127,30
electricity,wind,wind,2040,capital,257,0.127,30
electricity,wind,wind,2045,capital,241,0.127,30
electricity,wind,wind,2050,capital,224,0.127,30
electricity,wind,wind,2055,capital,223,0.127,30
electricity,wind,wind,2060,capital,222,0.127,30
electricity,wind,wind,2065,capital,221,0.127,30
electricity,wind,wind,2070,capital,220,0.127,30
electricity,wind,wind,2075,capital,219,0.127,30
electricity,wind,wind,2080,capital,218,0.127,30
electricity,wind,wind,2085,capital,217,0.127,30
electricity,wind,wind,2090,capital,215,0.127,30
electricity,wind,wind,2095,capital,214,0.127,30
electricity,wind,wind,2100,capital,213,0.127,30
electricity,wind,wind_offshore,1975,capital,1234,0.127,30
electricity,wind,wind_offshore,1990,capital,1234,0.127,30
electricity,wind,wind_offshore,2005,capital,1234,0.127,30
electricity,wind,wind_offshore,2010,capital,1234,0.127,30
electricity,wind,wind_offshore,2015,capital,1234,0.127,30
electricity,wind,wind_offshore,2021,capital,1234,0.127,30
electricity,wind,wind_offshore,2025,capital,1039,0.127,30
electricity,wind,wind_offshore,2030,capital,786,0.127,30
electricity,wind,wind_offshore,2035,capital,607,0.127,30
electricity,wind,wind_offshore,2040,capital,584,0.127,30
electricity,wind,wind_offshore,2045,capital,567,0.127,30
electricity,wind,wind_offshore,2050,capital,553,0.127,30
electricity,wind,wind_offshore,2055,capital,551,0.127,30
electricity,wind,wind_offshore,2060,capital,548,0.127,30
electricity,wind,wind_offshore,2065,capital,545,0.127,30
electricity,wind,wind_offshore,2070,capital,542,0.127,30
electricity,wind,wind_offshore,2075,capital,540,0.127,30
electricity,wind,wind_offshore,2080,capital,537,0.127,30
electricity,wind,wind_offshore,2085,capital,534,0.127,30
electricity,wind,wind_offshore,2090,capital,532,0.127,30
electricity,wind,wind_offshore,2095,capital,529,0.127,30
